Material Description                    , Plant, Period, Year, Amount in LC       , Quantity
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, 6659.4             , 221.51515151515153
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, 8301.318181818182  , 275.75757575757575
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, 5806.336363636364  , 193.33333333333334
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, 8567.327272727272  , 284.54545454545456
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, 11897.027272727271 , 394.54545454545456
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, 12539.118181818181 , 415.7575757575758
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, 10365.181818181818 , 343.93939393939394
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, 16244.899999999998 , 538.1818181818182
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, 13199.554545454544 , 437.5757575757576
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, 11034.790909090909 , 366.06060606060606
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, 13117.0            , 434.8484848484849
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, 17776.745454545453 , 588.7878787878789
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, 21069.754545454543 , 697.5757575757576
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, 13887.50909090909  , 460.3030303030303
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, 17116.30909090909  , 566.969696969697
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, 17492.390909090907 , 579.3939393939394
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, 20849.60909090909  , 690.3030303030304
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, 16520.081818181818 , 547.2727272727273
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, 12309.8            , 408.1818181818182
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, 21831.090909090908 , 722.7272727272727
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, 5567.845454545454  , 185.45454545454547
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, 4256.145454545454  , 142.12121212121212
Crate: Red Quart                        , AA   , 7     , 2022, -2035.2727272727273, -139.0909090909091
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, 18473.872727272723 , 611.8181818181819
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, 23445.49090909091  , 776.0606060606061
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, 15437.699999999999 , 511.51515151515156
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, 21766.881818181817 , 720.6060606060606
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, 19556.254545454543 , 647.5757575757576
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, 18914.163636363635 , 626.3636363636364
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, 16400.83636363636  , 543.3333333333334
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, 15199.209090909091 , 503.6363636363637
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, 23720.672727272726 , 785.1515151515152
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, 22849.263636363634 , 756.3636363636364
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, 19510.390909090907 , 646.0606060606061
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, 16510.90909090909  , 546.969696969697
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, 20611.11818181818  , 682.4242424242425
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, 25325.899999999998 , 838.1818181818182
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, 13988.40909090909  , 463.6363636363637
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, 20143.30909090909  , 666.969696969697
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, 23399.62727272727  , 774.5454545454546
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, 22858.43636363636  , 756.6666666666667
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, 23133.61818181818  , 765.7575757575758
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, 21097.272727272724 , 698.4848484848485
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, 22473.181818181816 , 743.939393939394
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, 15134.999999999998 , 501.51515151515156
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, 10346.836363636363 , 343.33333333333337
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, 19758.054545454543 , 654.2424242424242
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, 2990.3090909090906 , 100.30303030303031
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, 3247.1454545454544 , 108.7878787878788
Crate: Red Quart                        , AA   , 7     , 2022, -1552.772727272727 , -105.75757575757576
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, 15144.172727272726 , 501.81818181818187
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, 18345.454545454544 , 607.5757575757576
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, 23491.354545454546 , 777.5757575757576
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, 23344.590909090908 , 772.7272727272727
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, 20592.772727272724 , 681.8181818181819
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, 22078.754545454543 , 730.909090909091
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, 22592.42727272727  , 747.8787878787879
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, 23656.463636363635 , 783.0303030303031
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, 2228.972727272727  , 75.15151515151516
Crate: Red Quart                        , AA   , 7     , 2022, -1065.8863636363635, -72.12121212121212
